hotel_id,hotel_name,area,page_status,complaint_n,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,threshold_methodology,metric_interpretation
BOD045,Salmakis Resort & Spa,Bodrum Merkez,VISIBLE_COMPLAINTS,7,2681,2.6109660574412534,STRONGER_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD046,Senses Hotel,Bodrum Merkez,REJECTED_CANDIDATE_PAGE,0,1035,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD047,The Marmara Bodrum,Bodrum Merkez,NO_VALIDATED_SIKAYETVAR_PAGE,0,987,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD048,Babana Hotel,Göltürkbükü,REJECTED_CANDIDATE_PAGE,0,221,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD049,Casa Del Mar Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,263,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,590,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,0,373,0.0,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD052,Flamm Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,766,,MODERATE_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD053,Gölköy Suites,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,212,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
BOD054,Lavinya Maison,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,0,139,,LOW_DENOMINATOR,LOW < complaint-hotel Google review Q25 (731.2); MODERATE < median (1727.5); STRONGER >= median; missing/0 not computed,CROSS_PLATFORM_COMPLAINT_VISIBILITY_INDICATOR_NOT_REAL_COMPLAINT_RATE
