hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD052,Flamm Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,766,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD053,Gölköy Suites,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,212,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD054,Lavinya Maison,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,139,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,132,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,VISIBLE_COMPLAINTS,MATCHED_EXACT,2,FACILITIES_MAINTENANCE:100.0%|STAFF_SERVICE:100.0%|FOOD_BEVERAGE:50.0%,0.0,0.0,2728,0.7331378299120235,STRONGER_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD057,Selvi Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,584,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD058,Bodrum Beach Resort,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,3,PAYMENT_REFUND:66.7%|RESERVATION:66.7%|MANAGEMENT_COMMUNICATION:33.3%,0.0,0.0,1678,1.7878426698450536,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=1; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD059,Bodrum Hotel Baba,Gümbet,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,465,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD060,Club Shark Hotel,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,1,MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%|PRICE_VALUE:100.0%,0.0,0.0,1124,0.889679715302491,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD061,Gümbet Anıl Beach,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,2,BEACH_SEA:100.0%|FAMILY_CHILDREN:100.0%|FOOD_BEVERAGE:100.0%,0.0,0.0,1489,1.343183344526528,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,237,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD063,Jasmin Beach Hotel,Gümbet,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,1,FAMILY_CHILDREN:100.0%|MANAGEMENT_COMMUNICATION:100.0%|PAYMENT_REFUND:100.0%,1.0,100.0,2330,0.42918454935622313,STRONGER_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD064,Jasmin Elite Residence & Spa,Gümbet,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,MATCHED_HIGH_CONFIDENCE,0,,0.0,,600,0.0,LOW_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
BOD065,Mirada Exclusive Bodrum,Gümbet,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1905,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,18,RESERVATION:66.7%|STAFF_SERVICE:61.1%|MANAGEMENT_COMMUNICATION:55.6%,0.0,0.0,3511,5.1267445172315576,STRONGER_DENOMINATOR,HIGH_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD067,Sami Beach Hotel,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,6,MANAGEMENT_COMMUNICATION:83.3%|RESERVATION:83.3%|PAYMENT_REFUND:66.7%,0.0,0.0,2089,2.8721876495931067,STRONGER_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD068,Selectum Colours Bodrum,Gümbet,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,9,ROOM:88.9%|MANAGEMENT_COMMUNICATION:77.8%|STAFF_SERVICE:66.7%,0.0,0.0,13412,0.6710408589322995,STRONGER_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD069,Siesta Beach Apart,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,1,AIR_CONDITIONING:100.0%|BEACH_SEA:100.0%|CLEANLINESS_HYGIENE:100.0%,0.0,0.0,502,1.9920318725099602,LOW_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD070,The Luvi Hotel,Gümbet,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1226,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD071,Tropicana Beach Hotel,Gümbet,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,281,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD072,VERY CHIC BODRUM,Gümbet,VISIBLE_COMPLAINTS,MATCHED_EXACT,3,FACILITIES_MAINTENANCE:66.7%|FOOD_BEVERAGE:66.7%|RESERVATION:66.7%,0.0,0.0,1670,1.7964071856287425,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
