hotel_id,hotel_name,area,mapping_status,sikayetvar_url,page_found,page_accessible,complaint_count_matched,complaint_count_review_required,complaint_count_excluded,company_response_count,company_response_rate_in_scraped_corpus,first_complaint_date,last_complaint_date,last_checked
BOD100,Villa Rustica Hotel,Gündoğan,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:40:40.148862+00:00
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:40:52.820141+00:00
BOD102,Akyalı Butik Hotel,Güvercinlik,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:41:06.672539+00:00
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FOUND_EXACT,https://www.sikayetvar.com/green-bay-resort-spa,True,True,11,0,0,0,0.0%,9 Eylül 2024 00:57,7 Ağustos 18:50,2026-08-25T12:41:12.019709+00:00
BOD104,Greenport Bodrum,Güvercinlik,REVIEW_REQUIRED,https://www.sikayetvar.com/greenport-otel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:41:21.450247+00:00
BOD105,İsolina Hotel,Güvercinlik,PAGE_FOUND_NO_COMPLAINT,https://www.sikayetvar.com/isolina-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:41:30.312556+00:00
BOD106,La Blanche Island Bodrum,Güvercinlik,FOUND_EXACT,https://www.sikayetvar.com/la-blanche-island-bodrum,True,True,19,0,0,5,26.3%,17 Haziran 2024 08:33,5 Ağustos 09:16,2026-08-25T12:41:32.485503+00:00
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,FOUND_EXACT,https://www.sikayetvar.com/le-meridien-bodrum-beach-resort,True,True,4,0,0,0,0.0%,19 Haziran 2024 08:51,17 Temmuz 15:22,2026-08-25T12:41:38.536760+00:00
BOD108,Lujo Hotel Bodrum,Güvercinlik,REVIEW_REQUIRED,https://www.sikayetvar.com/lujo-hotel,True,True,0,0,0,0,0.0%,,,2026-08-25T12:41:48.540409+00:00
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,FOUND_EXACT,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,True,True,0,5,0,4,0.0%,5 Haziran 2024 15:17,15 Temmuz 19:30,2026-08-25T12:42:00.775432+00:00
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,FOUND_EXACT,https://www.sikayetvar.com/titanic-luxury-collection-bodrum,True,True,5,0,0,0,0.0%,Melike'nin Teşekkür Mesajı “ Teşekkürler tatilimizin güzel geçmesi için uğraştınız ”,5 Temmuz 22:26,2026-08-25T12:42:04.632529+00:00
BOD111,Zena Hotel Bodrum,Güvercinlik,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:42:13.768266+00:00
BOD112,Azure By Yelken Hotel,Kadıkalesi,FOUND_EXACT,https://www.sikayetvar.com/azure-by-yelken-hotel,True,True,26,0,0,1,3.8%,6 Haziran 2024 19:39,24 Ağustos 14:01,2026-08-25T12:42:21.403512+00:00
BOD113,Kadıkale Resort,Kadıkalesi,FOUND_EXACT,https://www.sikayetvar.com/kadikale-resort,True,True,7,0,0,2,28.6%,Sabri'nin Teşekkür Mesajı “ Etstur sorunumu çözdü ”,2 Haziran 22:45,2026-08-25T12:42:29.056660+00:00
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:42:42.055315+00:00
BOD115,Yasmin Bodrum Resort,Kadıkalesi,FOUND_EXACT,https://www.sikayetvar.com/yasmin-bodrum-resort,True,True,23,0,0,0,0.0%,5 Haziran 2024 18:09,23 Ağustos 11:09,2026-08-25T12:42:47.919221+00:00
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:42:57.072877+00:00
BOD117,Altınkaya Hotel,Ortakent-Yahşi,REVIEW_REQUIRED,https://www.sikayetvar.com/altinkaya,True,True,0,0,0,0,0.0%,,,2026-08-25T12:43:06.416764+00:00
BOD118,Amfora Hotel,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:43:19.420050+00:00
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:43:28.433052+00:00
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,FOUND_EXACT,https://www.sikayetvar.com/celeste-bella-luxury-hotel-spa,True,True,2,0,0,0,0.0%,28 Haziran 2024 13:29,5 Temmuz 2025 23:42,2026-08-25T12:43:37.609184+00:00
BOD121,Eskiyalı Otel,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:43:48.400402+00:00
BOD122,Florida Otel,Ortakent-Yahşi,NOT_FOUND,,False,False,0,0,0,0,0.0%,,,2026-08-25T12:43:59.412321+00:00
BOD123,Hotel Marma Beach,Ortakent-Yahşi,REVIEW_REQUIRED,https://www.sikayetvar.com/hotel-long-beach-resort,True,True,0,0,0,0,0.0%,,,2026-08-25T12:44:19.357047+00:00
