hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD150,FOOD_BEVERAGE,75.0,20,13.3,81.8,,0,,GOOGLE_GENERAL_ONLY
BOD153,FOOD_BEVERAGE,80.0,10,0.0,100.0,50.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD161,FOOD_BEVERAGE,100.0,10,90.0,0.0,46.42857142857143,28,False,BOTH_SOURCE_CONCERN
BOD168,FOOD_BEVERAGE,36.8,19,33.3,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD002,ROOM_COMFORT,80.0,10,33.3,66.7,75.0,8,False,NO_SIGNAL
BOD004,ROOM_COMFORT,90.0,10,66.7,50.0,75.0,12,False,BOTH_SOURCE_CONCERN
BOD006,ROOM_COMFORT,50.0,10,33.3,80.0,20.0,5,False,GOOGLE_GENERAL_ONLY
BOD007,ROOM_COMFORT,60.3,58,25.7,64.3,62.06896551724138,29,False,NO_SIGNAL
BOD010,ROOM_COMFORT,80.0,10,50.0,50.0,0.0,1,True,LOW_SUPPORT
BOD012,ROOM_COMFORT,60.0,10,33.3,100.0,100.0,4,True,LOW_SUPPORT
BOD016,ROOM_COMFORT,80.0,10,25.0,100.0,75.0,4,True,LOW_SUPPORT
BOD031,ROOM_COMFORT,77.8,9,100.0,42.9,,0,,GOOGLE_GENERAL_ONLY
BOD032,ROOM_COMFORT,46.6,58,3.7,92.6,100.0,1,True,LOW_SUPPORT
BOD045,ROOM_COMFORT,46.9,64,23.3,76.7,85.71428571428571,7,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD051,ROOM_COMFORT,50.0,20,10.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD056,ROOM_COMFORT,22.2,36,25.0,100.0,0.0,2,True,LOW_SUPPORT
BOD058,ROOM_COMFORT,80.0,10,25.0,75.0,0.0,3,True,LOW_SUPPORT
BOD060,ROOM_COMFORT,53.2,77,17.1,80.5,0.0,1,True,LOW_SUPPORT
BOD061,ROOM_COMFORT,63.1,65,19.5,70.7,100.0,2,True,LOW_SUPPORT
BOD063,ROOM_COMFORT,80.0,30,29.2,66.7,0.0,1,True,LOW_SUPPORT
BOD064,ROOM_COMFORT,79.3,29,26.1,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD066,ROOM_COMFORT,80.0,10,12.5,75.0,44.44444444444444,18,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD067,ROOM_COMFORT,59.3,59,50.0,51.4,50.0,6,False,BOTH_SOURCE_CONCERN
BOD068,ROOM_COMFORT,88.9,9,25.0,75.0,88.88888888888889,9,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD077,ROOM_COMFORT,70.0,20,78.6,25.0,57.142857142857146,7,False,BOTH_SOURCE_CONCERN
BOD088,ROOM_COMFORT,70.0,20,33.3,64.3,,0,,GOOGLE_GENERAL_ONLY
BOD095,ROOM_COMFORT,70.0,10,14.3,71.4,,0,,GOOGLE_GENERAL_ONLY
BOD104,ROOM_COMFORT,85.2,27,65.2,50.0,75.0,4,True,LOW_SUPPORT
BOD105,ROOM_COMFORT,37.5,40,26.7,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD106,ROOM_COMFORT,90.9,11,10.0,50.0,68.42105263157895,19,False,NO_SIGNAL
BOD107,ROOM_COMFORT,70.0,10,14.3,85.7,25.0,4,True,LOW_SUPPORT
BOD108,ROOM_COMFORT,77.8,9,100.0,57.1,33.333333333333336,15,False,BOTH_SOURCE_CONCERN
BOD109,ROOM_COMFORT,76.7,43,21.2,88.9,,0,,GOOGLE_GENERAL_ONLY
BOD113,ROOM_COMFORT,63.6,11,100.0,57.1,85.71428571428571,7,False,BOTH_SOURCE_CONCERN
BOD120,ROOM_COMFORT,70.0,10,42.9,66.7,100.0,2,True,LOW_SUPPORT
BOD126,ROOM_COMFORT,77.8,9,14.3,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD130,ROOM_COMFORT,80.0,10,50.0,75.0,46.15384615384615,13,False,BOTH_SOURCE_CONCERN
BOD131,ROOM_COMFORT,80.0,20,0.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD150,ROOM_COMFORT,75.0,20,20.0,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD153,ROOM_COMFORT,70.0,10,0.0,100.0,60.0,10,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD161,ROOM_COMFORT,100.0,10,100.0,0.0,64.28571428571429,28,False,BOTH_SOURCE_CONCERN
BOD168,ROOM_COMFORT,31.6,19,16.7,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD002,FACILITIES_MAINTENANCE,10.0,10,0.0,100.0,37.5,8,False,SIKAYETVAR_ONLY
BOD004,FACILITIES_MAINTENANCE,60.0,10,83.3,16.7,50.0,12,False,BOTH_SOURCE_CONCERN
BOD006,FACILITIES_MAINTENANCE,30.0,10,33.3,66.7,40.0,5,False,NO_SIGNAL
BOD007,FACILITIES_MAINTENANCE,43.1,58,36.0,56.0,41.37931034482759,29,False,NO_SIGNAL
BOD010,FACILITIES_MAINTENANCE,,0,,,0.0,1,True,LOW_SUPPORT
BOD012,FACILITIES_MAINTENANCE,40.0,10,25.0,75.0,75.0,4,True,LOW_SUPPORT
BOD016,FACILITIES_MAINTENANCE,70.0,10,28.6,71.4,25.0,4,True,LOW_SUPPORT
BOD031,FACILITIES_MAINTENANCE,11.1,9,100.0,0.0,,0,,NO_SIGNAL
BOD032,FACILITIES_MAINTENANCE,17.2,58,0.0,100.0,0.0,1,True,LOW_SUPPORT
BOD045,FACILITIES_MAINTENANCE,35.9,64,26.1,60.9,85.71428571428571,7,False,NO_SIGNAL
BOD051,FACILITIES_MAINTENANCE,15.0,20,0.0,66.7,,0,,GOOGLE_GENERAL_ONLY
BOD056,FACILITIES_MAINTENANCE,19.4,36,14.3,85.7,100.0,2,True,LOW_SUPPORT
BOD058,FACILITIES_MAINTENANCE,10.0,10,100.0,0.0,0.0,3,True,LOW_SUPPORT
