hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD075,Benjamin Otel,Gümüşlük,Benjamin,REVIEW_REQUIRED,0.5333,https://www.sikayetvar.com/benjamin,True,0.0,0,0,0,0,0,0,slug_guess,score=0.5333 name_sim=0.7619 bodrum=False area=False method=slug_guess,True,2026-08-25T12:36:40.922567+00:00
BOD076,Gümüşlük No3,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:36:47.967129+00:00
BOD077,Ladonia Hotels Zemda,Gümüşlük,Ladonia Hotels Zemda,FOUND_EXACT,0.7,https://www.sikayetvar.com/ladonia-hotels-zemda,True,7.0,7,7,7,0,7,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:36:53.535151+00:00
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:37:03.050158+00:00
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:37:13.849692+00:00
BOD080,Myndos Oda & kahvalti,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:37:24.550685+00:00
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,Golden Age Crystal Bodrum,REVIEW_REQUIRED,0.43,https://www.sikayetvar.com/golden-age-crystal-bodrum,True,8.0,0,0,0,0,0,0,search_fallback,score=0.43 name_sim=0.4 bodrum=True area=False method=search_fallback,True,2026-08-25T12:37:30.026821+00:00
BOD082,Otel Gümüşlük,Gümüşlük,Gümüşlük,REVIEW_REQUIRED,0.6833,https://www.sikayetvar.com/gumusluk,True,0.0,0,0,0,0,0,0,slug_guess,score=0.6833 name_sim=0.7619 bodrum=False area=True method=slug_guess,True,2026-08-25T12:37:35.684821+00:00
BOD083,Oza butik hotel,Gümüşlük,Aroma Butik Hotel,REVIEW_REQUIRED,0.6125,https://www.sikayetvar.com/aroma-butik-hotel,True,2.0,0,0,0,0,0,0,search_fallback,score=0.6125 name_sim=0.875 bodrum=False area=False method=search_fallback,True,2026-08-25T12:37:56.046008+00:00
BOD084,Paradise Garden Apartments,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:38:04.966228+00:00
