hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD117,Altınkaya Hotel,Ortakent-Yahşi,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD118,Amfora Hotel,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,FOUND_EXACT,True,2,2,2024-06-28 13:29:00,2025-07-05 23:42:00,149.0,149.0,0,1,1,2,309.0,0,0.0,100.0
BOD121,Eskiyalı Otel,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD122,Florida Otel,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD123,Hotel Marma Beach,Ortakent-Yahşi,REVIEW_REQUIRED,True,22,0,,,,,0,0,0,0,,0,,
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,FOUND_EXACT,True,1,1,2026-07-27 13:35:00,2026-07-27 13:35:00,227.0,227.0,0,1,1,1,49.0,0,0.0,100.0
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,REVIEW_REQUIRED,True,8,0,,,,,0,0,0,0,,0,,
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD127,Kriss Hotel,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
