hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD045,Salmakis Resort & Spa,7,PAYMENT_REFUND,5,71.42857142857143,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,PRICE_VALUE,3,42.857142857142854,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,CHECKIN_CHECKOUT,0,0.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,AIR_CONDITIONING,1,14.285714285714286,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,NOISE,0,0.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,FAMILY_CHILDREN,0,0.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,TRANSPORT_TRANSFER,0,0.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,MANAGEMENT_COMMUNICATION,5,71.42857142857143,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,SPA_WELLNESS,3,42.857142857142854,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,SAFETY_SECURITY,1,14.285714285714286,False,MEDIUM_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,STAFF_SERVICE,2,100.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,FOOD_BEVERAGE,1,50.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,ROOM,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,BEACH_SEA,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,POOL,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,FACILITIES_MAINTENANCE,2,100.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,RESERVATION,1,50.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,PAYMENT_REFUND,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,PRICE_VALUE,1,50.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,CHECKIN_CHECKOUT,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,NOISE,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,MANAGEMENT_COMMUNICATION,1,50.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD056,"Mandarin Oriental, Bodrum",2,SAFETY_SECURITY,1,50.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,STAFF_SERVICE,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,CLEANLINESS_HYGIENE,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,FOOD_BEVERAGE,0,0.0,True,LOW_SAMPLE
BOD058,Bodrum Beach Resort,3,ROOM,0,0.0,True,LOW_SAMPLE
