file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/sikayetvar_eda_notable_cases.csv,csv,EDA,5487,2026-08-26T07:02:08.204386473,20.0,10.0,hotel_name|area|metric|value|matched_complaint_count|reason_flag|selection_reason|small_n_flag|low_google_review_denominator_flag|caution_note,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_eda_output_validation.csv,csv,QUALITY,526,2026-08-26T07:02:08.204386473,8.0,3.0,check|passed|detail,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_exact_duplicate_audit.csv,csv,QUALITY,4435,2026-08-26T07:02:08.204386473,12.0,9.0,duplicate_type|duplicate_key|row_index|complaint_id|canonical_complaint_url|hotel_id|hotel_name|entity_match_status|occurrence_rank,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_hotel_aspect_lift.csv,csv,ASPECT,59429,2026-08-26T07:02:08.206953287,576.0,8.0,hotel_name|hotel_n|aspect|hotel_mention_rate_pct|overall_mention_rate_pct|lift_pp|small_n_flag|nlp_sample_tier,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_hotel_aspect_matrix.csv,csv,ASPECT,43310,2026-08-26T07:02:08.207794189,576.0,8.0,hotel_id|hotel_name|hotel_n|aspect|aspect_count|aspect_mention_rate_pct|small_n_flag|nlp_sample_tier,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_hotel_eda_summary.csv,csv,EDA,7530,2026-08-26T07:02:08.207794189,32.0,30.0,rank_in_corpus|hotel_id|hotel_name|area|matched_complaint_count|first_complaint_date|last_complaint_date|median_complaint_word_count|median_view_count|complaints_with_replies|total_reply_count|median_reply_count|max_reply_count|company_response_count|response_date_available_n|median_response_time_days|median_company_response_word_count|google_rating|google_review_count|search_price_usd_snapshot|official_star_rating_verified|official_room_count|official_bed_count|share_of_corpus_pct|company_response_rate_in_corpus|reply_coverage_pct|cross_platform_complaint_visibility_per_1000_google_reviews|low_google_review_denominator_flag|small_n_flag|nlp_sample_tier,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_hotel_level_correlations.csv,csv,EDA,2058,2026-08-26T07:02:08.208298922,9.0,7.0,metric_x|metric_y|n|spearman_rho|p_value|interpretation|main_caution,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_hotel_mapping_status_audit.csv,csv,MAPPING,253,2026-08-26T07:02:08.208807707,6.0,3.0,match_status|hotel_count|share_pct,"Hotel entity mapping, mapping summary, or manual-review evidence"
reports/sikayetvar_hotel_metadata_mismatches.csv,csv,OTHER,137,2026-08-26T07:02:08.209311485,0.0,9.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|hotel_name_master|area|area_master|hotel_name_mismatch_flag|area_mismatch_flag,Other Sikayetvar-related repository asset
reports/sikayetvar_hotel_top_aspects.csv,csv,ASPECT,1911,2026-08-26T07:02:08.209311485,17.0,8.0,hotel_name|hotel_n|top_aspect_1|top_aspect_1_rate_pct|top_aspect_2|top_aspect_2_rate_pct|top_aspect_3|top_aspect_3_rate_pct,"Aspect taxonomy, mention, lift, validation, or aspect summary output"
reports/sikayetvar_near_duplicate_candidates.csv,csv,QUALITY,125,2026-08-26T07:02:08.209311485,0.0,10.0,hotel_id|hotel_name|row_index_a|row_index_b|complaint_id_a|complaint_id_b|canonical_url_a|canonical_url_b|similarity|action,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_nlp_corpus_summary.csv,csv,NLP,271,2026-08-26T07:02:08.210577011,9.0,2.0,metric|value,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_distinctive_terms_by_area.csv,csv,NLP,3817,2026-08-26T07:02:08.211093903,80.0,6.0,area|area_n|term|tfidf_score|document_count|rank,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_distinctive_terms_by_hotel.csv,csv,NLP,9881,2026-08-26T07:02:08.211093903,170.0,6.0,hotel_name|hotel_n|term|tfidf_score|document_count|rank,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_key_findings.txt,txt,NLP,2449,2026-08-26T07:02:08.211587906,,,,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_limitations.txt,txt,NLP,1388,2026-08-26T07:02:08.211587906,,,,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_ngrams.csv,csv,NLP,19808,2026-08-26T07:02:08.212099314,453.0,5.0,term|n|token_count|document_count|document_share_pct,"NLP corpus, term, sample-readiness, or topic-gate output"
reports/sikayetvar_nlp_output_validation.csv,csv,QUALITY,535,2026-08-26T07:02:08.212099314,18.0,2.0,check|passed,"NLP corpus, term, sample-readiness, or topic-gate output"
