hotel_id,hotel_name,area,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,SAFETY_SECURITY,10,35.714285714285715,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,STAFF_SERVICE,12,85.71428571428571,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,CLEANLINESS_HYGIENE,11,78.57142857142857,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,FOOD_BEVERAGE,11,78.57142857142857,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,ROOM,13,92.85714285714286,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,BEACH_SEA,6,42.857142857142854,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,POOL,3,21.428571428571427,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,FACILITIES_MAINTENANCE,9,64.28571428571429,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,RESERVATION,5,35.714285714285715,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,PAYMENT_REFUND,8,57.142857142857146,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,PRICE_VALUE,7,50.0,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,CHECKIN_CHECKOUT,2,14.285714285714286,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,AIR_CONDITIONING,0,0.0,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,NOISE,1,7.142857142857143,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,FAMILY_CHILDREN,6,42.857142857142854,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,TRANSPORT_TRANSFER,3,21.428571428571427,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,MANAGEMENT_COMMUNICATION,10,71.42857142857143,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,SPA_WELLNESS,1,7.142857142857143,False
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,14,SAFETY_SECURITY,7,50.0,False
