hotel_id,hotel_name,area,detected_sikayetvar_hotel_name,source_url,mapping_status,confidence,page_accessible,visible_complaint_count,checked_at,complaint_count,unique_complaint_count,detail_nonempty_count,company_response_count,matched_complaint_count,review_required_complaint_count,checked_on_sikayetvar,valid_page,hotels_with_complaints,hotels_with_zero_complaints,not_found,review_required,wrong_entity,unprocessed
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,Green Bay Resort & Spa,https://www.sikayetvar.com/green-bay-resort-spa,FOUND_EXACT,0.7,True,11.0,2026-08-25T12:41:12.019709+00:00,11,11,10,0,11,0,True,True,True,False,False,False,False,False
BOD104,Greenport Bodrum,Güvercinlik,Greenport Otel,https://www.sikayetvar.com/greenport-otel,REVIEW_REQUIRED,0.5478,True,4.0,2026-08-25T12:41:21.450247+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD105,İsolina Hotel,Güvercinlik,Isolina Hotel,https://www.sikayetvar.com/isolina-hotel,PAGE_FOUND_NO_COMPLAINT,0.7,True,0.0,2026-08-25T12:41:30.312556+00:00,0,0,0,0,0,0,True,True,False,True,False,False,False,False
BOD106,La Blanche Island Bodrum,Güvercinlik,La Blanche Island Bodrum,https://www.sikayetvar.com/la-blanche-island-bodrum,FOUND_EXACT,0.85,True,16.0,2026-08-25T12:41:32.485503+00:00,19,19,18,5,19,0,True,True,True,False,False,False,False,False
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,Le Meridien Bodrum Beach Resort,https://www.sikayetvar.com/le-meridien-bodrum-beach-resort,FOUND_EXACT,0.8208,True,4.0,2026-08-25T12:41:38.536760+00:00,4,4,4,0,4,0,True,True,True,False,False,False,False,False
BOD108,Lujo Hotel Bodrum,Güvercinlik,Lujo Hotel,https://www.sikayetvar.com/lujo-hotel,REVIEW_REQUIRED,0.7,True,15.0,2026-08-25T12:41:48.540409+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,Oscar Seaside Hotel & Spa Bodrum,https://www.sikayetvar.com/oscar-seaside-hotel-spa-bodrum,FOUND_EXACT,0.85,True,5.0,2026-08-25T12:42:00.775432+00:00,5,5,5,4,0,5,True,True,False,False,False,False,False,False
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,Titanic Luxury Collection Bodrum,https://www.sikayetvar.com/titanic-luxury-collection-bodrum,FOUND_EXACT,0.85,True,5.0,2026-08-25T12:42:04.632529+00:00,5,5,5,0,5,0,True,True,True,False,False,False,False,False
BOD111,Zena Hotel Bodrum,Güvercinlik,,,NOT_FOUND,0.0,False,,2026-08-25T12:42:13.768266+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD112,Azure By Yelken Hotel,Kadıkalesi,Azure by Yelken Hotel,https://www.sikayetvar.com/azure-by-yelken-hotel,FOUND_EXACT,0.7,True,22.0,2026-08-25T12:42:21.403512+00:00,26,26,26,1,26,0,True,True,True,False,False,False,False,False
