complaint_id,hotel_id,hotel_name,area,company_response_exists_clean,complaint_date,google_rating,google_review_count,aspect,matched,matched_keywords
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,TRANSPORT_TRANSFER,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,SAFETY_SECURITY,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,STAFF_SERVICE,True,çalışan
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,CLEANLINESS_HYGIENE,True,temizlik|temiz|havlu|koku
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,FOOD_BEVERAGE,True,kahvaltı|yemek
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,ROOM,True,yatak|oda
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,BEACH_SEA,True,şezlong|deniz
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,POOL,True,havuz
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,FACILITIES_MAINTENANCE,True,kırık
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,RESERVATION,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,PAYMENT_REFUND,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,PRICE_VALUE,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,CHECKIN_CHECKOUT,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,AIR_CONDITIONING,True,klima
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,NOISE,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,FAMILY_CHILDREN,True,kızım
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,TRANSPORT_TRANSFER,True,otopark
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-otel-deneyiminde-hayal-kirikligi-ve-saglik-sorunlari,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-08-31 18:48:00,4.1,3022,SAFETY_SECURITY,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,STAFF_SERVICE,True,çalışan
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,CLEANLINESS_HYGIENE,True,havlu
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,FOOD_BEVERAGE,True,her şey dahil|kahvaltı|lezzet|yemek
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,ROOM,True,oda
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,BEACH_SEA,True,şezlong
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,POOL,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,FACILITIES_MAINTENANCE,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,RESERVATION,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,PAYMENT_REFUND,True,para
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,PRICE_VALUE,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,CHECKIN_CHECKOUT,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,AIR_CONDITIONING,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,NOISE,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,FAMILY_CHILDREN,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,TRANSPORT_TRANSFER,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,MANAGEMENT_COMMUNICATION,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-tatilimiz-rezil-oldu,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2024-06-17 10:54:00,4.1,3022,SAFETY_SECURITY,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,STAFF_SERVICE,True,garson
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,CLEANLINESS_HYGIENE,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,FOOD_BEVERAGE,True,yemek
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,ROOM,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,BEACH_SEA,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,POOL,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,FACILITIES_MAINTENANCE,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,RESERVATION,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,PAYMENT_REFUND,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,PRICE_VALUE,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,CHECKIN_CHECKOUT,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,AIR_CONDITIONING,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,NOISE,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,FAMILY_CHILDREN,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,TRANSPORT_TRANSFER,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,MANAGEMENT_COMMUNICATION,True,müdür
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,SPA_WELLNESS,False,
diamond-of-bodrum-memnuniyetsizlik-saygisiz-davranislar,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2023-09-27 11:26:00,4.1,3022,SAFETY_SECURITY,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,STAFF_SERVICE,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,CLEANLINESS_HYGIENE,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,FOOD_BEVERAGE,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,ROOM,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,BEACH_SEA,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,POOL,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,FACILITIES_MAINTENANCE,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,RESERVATION,False,
greenport-otel-temizlik-sorunu-video,BOD104,Greenport Bodrum,Güvercinlik,False,2026-08-03 10:35:00,3.2,1317,PAYMENT_REFUND,False,
